#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   0.0000   [eV]
# No intraband contributions added
#
# Energy [eV]    eloss_xx      eloss_zz
#
   8.612410  0.508126E+00  0.169494E+00
   8.639620  0.454623E+00  0.167855E+00
   8.666830  0.410822E+00  0.163566E+00
   8.694040  0.378227E+00  0.157434E+00
   8.721250  0.353686E+00  0.151693E+00
   8.748460  0.334601E+00  0.146762E+00
   8.775670  0.319669E+00  0.142234E+00
   8.802890  0.308085E+00  0.137800E+00
   8.830100  0.299874E+00  0.133048E+00
   8.857310  0.295627E+00  0.128092E+00
   8.884520  0.294200E+00  0.123767E+00
   8.911730  0.293332E+00  0.120797E+00
   8.938940  0.292117E+00  0.118980E+00
   8.966150  0.290553E+00  0.117669E+00
   8.993370  0.288683E+00  0.116544E+00
   9.020580  0.286673E+00  0.115674E+00
   9.047790  0.284607E+00  0.115346E+00
   9.075000  0.282374E+00  0.115866E+00
   9.102210  0.280164E+00  0.117414E+00
   9.129420  0.277958E+00  0.119702E+00
   9.156630  0.275321E+00  0.122221E+00
   9.183850  0.271937E+00  0.124613E+00
   9.211060  0.267887E+00  0.126627E+00
   9.238270  0.263456E+00  0.128120E+00
   9.265480  0.259057E+00  0.129156E+00
   9.292690  0.255095E+00  0.129758E+00
   9.319900  0.251529E+00  0.129742E+00
   9.347110  0.248085E+00  0.128914E+00
   9.374330  0.244738E+00  0.127672E+00
   9.401540  0.241683E+00  0.126492E+00
   9.428750  0.238768E+00  0.125515E+00
   9.455960  0.235526E+00  0.124464E+00
   9.483170  0.232185E+00  0.122919E+00
   9.510380  0.229312E+00  0.121322E+00
   9.537590  0.226895E+00  0.120804E+00
   9.564810  0.224269E+00  0.121471E+00
   9.592020  0.221012E+00  0.122331E+00
   9.619230  0.217519E+00  0.122654E+00
   9.646440  0.214353E+00  0.122408E+00
   9.673650  0.211608E+00  0.122102E+00
   9.700860  0.209133E+00  0.122201E+00
   9.728070  0.206740E+00  0.122848E+00
   9.755290  0.204244E+00  0.124028E+00
   9.782500  0.201703E+00  0.125590E+00
   9.809710  0.198989E+00  0.127243E+00
   9.836920  0.195805E+00  0.128615E+00
   9.864130  0.192673E+00  0.129399E+00
   9.891340  0.190702E+00  0.129517E+00
   9.918550  0.190145E+00  0.129257E+00
   9.945760  0.190190E+00  0.129153E+00
   9.972980  0.190051E+00  0.129184E+00
  10.000190  0.189422E+00  0.129121E+00
  10.027400  0.188158E+00  0.129137E+00
  10.054610  0.186144E+00  0.129479E+00
  10.081820  0.183599E+00  0.130127E+00
  10.109030  0.181348E+00  0.130885E+00
  10.136240  0.180196E+00  0.131546E+00
  10.163460  0.180228E+00  0.131791E+00
  10.190670  0.181002E+00  0.131526E+00
  10.217880  0.182393E+00  0.131790E+00
  10.245090  0.184292E+00  0.133420E+00
  10.272300  0.186698E+00  0.135964E+00
  10.299510  0.189925E+00  0.138504E+00
  10.326720  0.194050E+00  0.140567E+00
  10.353940  0.198349E+00  0.142486E+00
  10.381150  0.202209E+00  0.144632E+00
  10.408360  0.205632E+00  0.147339E+00
  10.435570  0.208800E+00  0.150873E+00
  10.462780  0.211519E+00  0.154795E+00
  10.489990  0.213391E+00  0.158587E+00
  10.517200  0.214155E+00  0.161749E+00
  10.544420  0.214156E+00  0.163813E+00
  10.571630  0.214555E+00  0.165510E+00
  10.598840  0.216166E+00  0.167283E+00
  10.626050  0.218520E+00  0.169471E+00
  10.653260  0.220521E+00  0.172172E+00
  10.680470  0.221386E+00  0.174403E+00
  10.707680  0.221343E+00  0.175722E+00
  10.734900  0.220794E+00  0.177030E+00
  10.762110  0.219701E+00  0.179292E+00
  10.789320  0.217470E+00  0.182682E+00
  10.816530  0.214528E+00  0.186352E+00
  10.843740  0.213050E+00  0.189394E+00
  10.870950  0.213614E+00  0.191398E+00
  10.898160  0.215703E+00  0.192236E+00
  10.925380  0.218590E+00  0.192261E+00
  10.952590  0.221673E+00  0.192453E+00
  10.979800  0.224704E+00  0.193488E+00
  11.007010  0.227679E+00  0.195210E+00
  11.034220  0.230499E+00  0.197482E+00
  11.061430  0.232894E+00  0.200357E+00
  11.088640  0.234898E+00  0.203837E+00
  11.115850  0.236357E+00  0.207531E+00
