,x,y,time,energy
22373,1.1811447314453125,1.1811447314453125,10,200
22374,1.1818678076171873,1.1818678076171873,10,200
22375,1.1825908837890624,1.1825908837890624,10,200
22376,1.1833139599609375,1.1833139599609375,10,200
22377,1.1840370361328123,1.1840370361328123,10,200
22378,1.1847601123046874,1.1847601123046874,10,200
22379,1.1854831884765624,1.1854831884765624,10,200
22380,1.1862062646484375,1.1862062646484375,10,200
22381,1.1869293408203123,1.1869293408203123,10,200
22382,1.1876524169921874,1.1876524169921874,10,200
22383,1.1883754931640624,1.1883754931640624,10,200
22384,1.1890985693359375,1.1890985693359375,10,200
22385,1.1898216455078123,1.1898216455078123,10,200
22386,1.1905447216796874,1.1905447216796874,10,200
22387,1.1912677978515624,1.1912677978515624,10,200
22388,1.1919908740234375,1.1919908740234375,10,200
22389,1.1927139501953123,1.1927139501953123,10,200
22390,1.1934370263671874,1.1934370263671874,10,200
22391,1.1941601025390625,1.1941601025390625,10,200
22392,1.1948831787109373,1.1948831787109373,10,200
22393,1.1956062548828124,1.1956062548828124,10,200
22394,1.1963293310546874,1.1963293310546874,10,200
22395,1.1970524072265625,1.1970524072265625,10,200
22396,1.1977754833984373,1.1977754833984373,10,200
22397,1.1984985595703124,1.1984985595703124,10,200
22398,1.1992216357421874,1.1992216357421874,10,200
22399,1.1999447119140625,1.1999447119140625,10,200
22400,1.2006677880859373,1.2006677880859373,10,200
22401,1.2013908642578124,1.2013908642578124,10,200
22402,1.2021139404296874,1.2021139404296874,10,200
22403,1.2028370166015625,1.2028370166015625,10,200
22404,1.2035600927734373,1.2035600927734373,10,200
22405,1.2042831689453124,1.2042831689453124,10,200
22406,1.2050062451171875,1.2050062451171875,10,200
22407,1.2057293212890625,1.2057293212890625,10,200
22408,1.2064523974609374,1.2064523974609374,10,200
22409,1.2071754736328124,1.2071754736328124,10,200
22410,1.2078985498046875,1.2078985498046875,10,200
22411,1.2086216259765623,1.2086216259765623,10,200
22412,1.2093447021484374,1.2093447021484374,10,200
22413,1.2100677783203124,1.2100677783203124,10,200
22414,1.2107908544921875,1.2107908544921875,10,200
22415,1.2115139306640623,1.2115139306640623,10,200
22416,1.2122370068359374,1.2122370068359374,10,200
22417,1.2129600830078124,1.2129600830078124,10,200
22418,1.2136831591796875,1.2136831591796875,10,200
22419,1.2144062353515623,1.2144062353515623,10,200
22420,1.2151293115234374,1.2151293115234374,10,200
22421,1.2158523876953125,1.2158523876953125,10,200
22422,1.2165754638671875,1.2165754638671875,10,200
22423,1.2172985400390623,1.2172985400390623,10,200
22424,1.2180216162109374,1.2180216162109374,10,200
22425,1.2187446923828125,1.2187446923828125,10,200
22426,1.2194677685546873,1.2194677685546873,10,200
22427,1.2201908447265624,1.2201908447265624,10,200
22428,1.2209139208984374,1.2209139208984374,10,200
22429,1.2216369970703125,1.2216369970703125,10,200
22430,1.2223600732421873,1.2223600732421873,10,200
22431,1.2230831494140624,1.2230831494140624,10,200
22432,1.2238062255859374,1.2238062255859374,10,200
22433,1.2245293017578125,1.2245293017578125,10,200
22434,1.2252523779296873,1.2252523779296873,10,200
22435,1.2259754541015624,1.2259754541015624,10,200
22436,1.2266985302734374,1.2266985302734374,10,200
22437,1.2274216064453125,1.2274216064453125,10,200
22438,1.2281446826171873,1.2281446826171873,10,200
22439,1.2288677587890624,1.2288677587890624,10,200
22440,1.2295908349609375,1.2295908349609375,10,200
22441,1.2303139111328123,1.2303139111328123,10,200
22442,1.2310369873046874,1.2310369873046874,10,200
22443,1.2317600634765624,1.2317600634765624,10,200
22444,1.2324831396484375,1.2324831396484375,10,200
22445,1.2332062158203123,1.2332062158203123,10,200
22446,1.2339292919921874,1.2339292919921874,10,200
22447,1.2346523681640624,1.2346523681640624,10,200
22448,1.2353754443359375,1.2353754443359375,10,200
22449,1.2360985205078123,1.2360985205078123,10,200
22450,1.2368215966796874,1.2368215966796874,10,200
22451,1.2375446728515624,1.2375446728515624,10,200
22452,1.2382677490234375,1.2382677490234375,10,200
22453,1.2389908251953123,1.2389908251953123,10,200
22454,1.2397139013671874,1.2397139013671874,10,200
22455,1.2404369775390625,1.2404369775390625,10,200
22456,1.2411600537109373,1.2411600537109373,10,200
22457,1.2418831298828124,1.2418831298828124,10,200
22458,1.2426062060546874,1.2426062060546874,10,200
22459,1.2433292822265625,1.2433292822265625,10,200
22460,1.2440523583984373,1.2440523583984373,10,200
22461,1.2447754345703124,1.2447754345703124,10,200
22462,1.2454985107421874,1.2454985107421874,10,200
22463,1.2462215869140625,1.2462215869140625,10,200
22464,1.2469446630859373,1.2469446630859373,10,200
22465,1.2476677392578124,1.2476677392578124,10,200
22466,1.2483908154296874,1.2483908154296874,10,200
22467,1.2491138916015625,1.2491138916015625,10,200
22468,1.2498369677734373,1.2498369677734373,10,200
22469,1.2505600439453124,1.2505600439453124,10,200
22470,1.2512831201171875,1.2512831201171875,10,200
22471,1.2520061962890625,1.2520061962890625,10,200
22472,1.2527292724609373,1.2527292724609373,10,200
22473,1.2534523486328124,1.2534523486328124,10,200
22474,1.2541754248046875,1.2541754248046875,10,200
22475,1.2548985009765623,1.2548985009765623,10,200
22476,1.2556215771484374,1.2556215771484374,10,200
22477,1.2563446533203124,1.2563446533203124,10,200
22478,1.2570677294921875,1.2570677294921875,10,200
22479,1.2577908056640623,1.2577908056640623,10,200
22480,1.2585138818359374,1.2585138818359374,10,200
22481,1.2592369580078124,1.2592369580078124,10,200
