,Unnamed: 0,pred,pred_high,pred_low,dif4,sigma_dif4,dif4_high,dif4_low,dif4_median,match4,sigma_match4,match4_high,match4_low,match4_median,spectrum4,dif5,sigma_dif5,dif5_high,dif5_low,dif5_median,match5,sigma_match5,match5_high,match5_low,match5_median,spectrum5,dif6,sigma_dif6,dif6_high,dif6_low,dif6_median,match6,sigma_match6,match6_high,match6_low,match6_median,spectrum6,dif7,sigma_dif7,dif7_high,dif7_low,dif7_median,match7,sigma_match7,match7_high,match7_low,match7_median,spectrum7
30,30,480345.08743314474,378346.0851863919,577214.5494433634,0.0,0.0,0.0,0.0,0.0,156415.56651700925,6.939759996903064e-13,156415.56651700928,156415.56651700928,156415.56651700928,156415.56651700928,0.0,0.0,0.0,0.0,0.0,150380.4382529006,9.384673282999488e-13,150380.43825290055,150380.43825290055,150380.43825290055,150380.43825290055,0.0,0.0,0.0,0.0,0.0,187423.10656791067,0.0,187423.10656791067,187423.10656791067,187423.10656791067,187423.10656791067,0.0,0.0,0.0,0.0,0.0,127692.74167346946,1.9327227507756808e-12,127692.74167346946,127692.74167346946,127692.74167346946,127692.74167346946
31,31,548633.2233495627,429224.6626527136,662748.923594617,0.0,0.0,0.0,0.0,0.0,167835.3777335952,3.2299046656424126e-13,167835.3777335952,167835.3777335952,167835.3777335952,167835.3777335952,0.0,0.0,0.0,0.0,0.0,163492.65062582953,3.6448851422800205e-13,163492.6506258295,163492.6506258295,163492.6506258295,163492.6506258295,0.0,0.0,0.0,0.0,0.0,199201.24251995643,0.0,199201.24251995643,199201.24251995643,199201.24251995643,199201.24251995643,0.0,0.0,0.0,0.0,0.0,135935.10365351607,1.0169664662545478e-12,135935.10365351607,135935.10365351607,135935.10365351607,135935.10365351607
32,32,629611.0024464148,480798.59981477115,762727.7069899692,0.0,0.0,0.0,0.0,0.0,180321.22201849378,8.299609532752161e-14,180321.22201849378,180321.22201849378,180321.22201849378,180321.22201849378,0.0,0.0,0.0,0.0,0.0,178256.54446942086,8.299609532752161e-14,178256.54446942086,178256.54446942086,178256.54446942086,178256.54446942086,0.0,0.0,0.0,0.0,0.0,212120.28708788392,0.0,212120.28708788392,212120.28708788392,212120.28708788392,212120.28708788392,0.0,0.0,0.0,0.0,0.0,145239.90157996755,4.0598656189176285e-13,145239.90157996755,145239.90157996755,145239.90157996755,145239.90157996755
33,33,725622.4630130474,540024.8170584004,879355.4720674147,0.0,0.0,0.0,0.0,0.0,194059.1287919907,0.0,194059.1287919907,194059.1287919907,194059.1287919907,194059.1287919907,0.0,0.0,0.0,0.0,0.0,194954.3957963844,0.0,194954.3957963844,194954.3957963844,194954.3957963844,194954.3957963844,0.0,0.0,0.0,0.0,0.0,226340.49378249559,0.0,226340.49378249559,226340.49378249559,226340.49378249559,226340.49378249559,0.0,0.0,0.0,0.0,0.0,155841.63808509993,8.299609532752161e-14,155841.63808509993,155841.63808509993,155841.63808509993,155841.63808509993
34,34,839488.1951518038,617402.1124067229,1023247.3581206414,0.0,0.0,0.0,0.0,0.0,209289.26553313085,0.0,209289.26553313085,209289.26553313085,209289.26553313085,209289.26553313085,0.0,0.0,0.0,0.0,0.0,213931.53285466827,0.0,213931.53285466827,213931.53285466827,213931.53285466827,213931.53285466827,0.0,0.0,0.0,0.0,0.0,242051.36864203005,0.0,242051.36864203005,242051.36864203005,242051.36864203005,242051.36864203005,0.0,0.0,0.0,0.0,0.0,168012.8362248477,0.0,168012.8362248477,168012.8362248477,168012.8362248477,168012.8362248477
35,35,974479.2893437551,710799.9109633274,1208817.6003278515,0.0,0.0,0.0,0.0,0.0,226313.98345106235,0.0,226313.98345106235,226313.98345106235,226313.98345106235,226313.98345106235,0.0,0.0,0.0,0.0,0.0,235611.3767666109,0.0,235611.3767666109,235611.3767666109,235611.3767666109,235611.3767666109,0.0,0.0,0.0,0.0,0.0,259477.2846226198,0.0,259477.2846226198,259477.2846226198,259477.2846226198,259477.2846226198,0.0,0.0,0.0,0.0,0.0,182086.17405917004,0.0,182086.17405917004,182086.17405917004,182086.17405917004,182086.17405917004
36,36,1134320.7610268358,818052.9749168594,1407285.3529194123,0.0,0.0,0.0,0.0,0.0,245532.3263527673,0.0,245532.3263527673,245532.3263527673,245532.3263527673,245532.3263527673,0.0,0.0,0.0,0.0,0.0,260521.9636964026,0.0,260521.9636964026,260521.9636964026,260521.9636964026,260521.9636964026,0.0,0.0,0.0,0.0,0.0,278903.53731013834,0.0,278903.53731013834,278903.53731013834,278903.53731013834,278903.53731013834,0.0,0.0,0.0,0.0,0.0,198487.36683836495,0.0,198487.36683836495,198487.36683836495,198487.36683836495,198487.36683836495
37,37,1323397.2468565041,934565.6804840302,1673010.1761053796,0.0,0.0,0.0,0.0,0.0,267488.9021659505,0.0,267488.9021659505,267488.9021659505,267488.9021659505,267488.9021659505,0.0,0.0,0.0,0.0,0.0,289333.67608539306,0.0,289333.67608539306,289333.67608539306,289333.67608539306,289333.67608539306,0.0,0.0,0.0,0.0,0.0,300713.56496107735,0.0,300713.56496107735,300713.56496107735,300713.56496107735,300713.56496107735,0.0,0.0,0.0,0.0,0.0,217769.31446163988,0.0,217769.31446163988,217769.31446163988,217769.31446163988,217769.31446163988
38,38,1544686.9592744138,1081392.7076793402,2027551.5701757043,0.0,0.0,0.0,0.0,0.0,292939.5607085257,0.0,292939.5607085257,292939.5607085257,292939.5607085257,292939.5607085257,0.0,0.0,0.0,0.0,0.0,322904.2096852669,0.0,322904.2096852669,322904.2096852669,322904.2096852669,322904.2096852669,0.0,0.0,0.0,0.0,0.0,325415.34504843,0.0,325415.34504843,325415.34504843,325415.34504843,325415.34504843,0.0,0.0,0.0,0.0,0.0,240672.13341767786,0.0,240672.13341767786,240672.13341767786,240672.13341767786,240672.13341767786
39,39,1799087.289558384,1212667.2282623195,2381485.623587444,0.0,0.0,0.0,0.0,0.0,322969.280276269,0.0,322969.280276269,322969.280276269,322969.280276269,322969.280276269,0.0,0.0,0.0,0.0,0.0,362351.48233798187,0.0,362351.48233798187,362351.48233798187,362351.48233798187,362351.48233798187,0.0,0.0,0.0,0.0,0.0,353687.1925405005,0.0,353687.1925405005,353687.1925405005,353687.1925405005,353687.1925405005,0.0,0.0,0.0,0.0,0.0,268231.06766064145,0.0,268231.06766064145,268231.06766064145,268231.06766064145,268231.06766064145
40,40,2095906.9184834026,1374092.745705719,2850273.998647476,0.0,0.0,0.0,0.0,0.0,359160.0652524334,0.0,359160.0652524334,359160.0652524334,359160.0652524334,359160.0652524334,0.0,0.0,0.0,0.0,0.0,409175.19761952606,0.0,409175.19761952606,409175.19761952606,409175.19761952606,409175.19761952606,0.0,0.0,0.0,0.0,0.0,386452.8145170324,0.0,386452.8145170324,386452.8145170324,386452.8145170324,386452.8145170324,0.0,0.0,0.0,0.0,0.0,301939.44676264224,0.0,301939.44676264224,301939.44676264224,301939.44676264224,301939.44676264224
41,41,2437486.3449707283,1525965.9655032444,3404172.4810486026,0.0,0.0,0.0,0.0,0.0,403803.90383494046,0.0,403803.90383494046,403803.90383494046,403803.90383494046,403803.90383494046,0.0,0.0,0.0,0.0,0.0,465399.75689569494,0.0,465399.75689569494,465399.75689569494,465399.75689569494,465399.75689569494,0.0,0.0,0.0,0.0,0.0,424990.6941248075,0.0,424990.6941248075,424990.6941248075,424990.6941248075,424990.6941248075,0.0,0.0,0.0,0.0,0.0,343949.49427760835,0.0,343949.49427760835,343949.49427760835,343949.49427760835,343949.49427760835
