,pred,pred_high,pred_low,dif15,sigma_dif15,dif15_high,dif15_low,dif15_median,match15,sigma_match15,match15_high,match15_low,match15_median,spectrum15
100,2050.7428393136547,1684.9543838009722,2453.5384443404096,1171.0193681344194,435.50038086010613,767.428894368931,1536.4079423946257,1162.1620165046274,2114.191778809113,438.5528381300564,1747.7131230781777,2516.692171103872,2121.959048968176,3284.1210654728034
101,1933.0182129246678,1575.1404749153048,2337.3623241192795,1276.9070050839966,433.77298576555836,871.8246196323893,1639.4503338678503,1271.7323775233976,1993.5435505134217,434.773882381353,1630.663004660337,2398.2887188957984,1998.3809610047897,3270.1133385281873
102,1821.6526334722394,1461.4330682437314,2233.4357571039545,1347.8735852064688,429.92084131415425,940.048144542589,1707.621689681654,1344.878511514398,1879.0457128712617,430.1072282569154,1519.2369073713828,2286.810452510448,1881.9800855386388,3226.8585970530366
103,1716.3037794169093,1358.4944065358522,2127.472709327017,1420.3903973320853,424.6414764008082,1011.2038520370729,1779.202950709564,1419.3084583010648,1770.5974617538543,424.6529144433616,1411.7811602274053,2179.7802588998966,1771.6756526359043,3190.984110936969
104,1616.6552414553587,1257.9379950611094,2018.6692183489984,1475.6909251510294,418.50212724345096,1069.676269846132,1834.0154131688662,1476.3450782113523,1668.0145628339155,418.50212724345096,1309.6900748160785,2074.029218138813,1667.3604097735924,3143.705487984945
105,1522.4141308993985,1165.6643859348385,1919.640163832418,1501.4429060623684,411.74570437636953,1099.7645696630989,1858.637023345457,1502.752088981851,1571.0890922574304,411.74570437636953,1213.8949749743415,1972.7674286566996,1569.7799093379472,3072.5319983197987
106,1434.0133809977417,1080.2587412613252,1836.97868746678,1528.6731866931505,404.47478165220224,1128.6924493638026,1884.1886116595626,1531.1978887995585,1479.6822181984426,404.47478165220224,1124.16679323203,1879.66295552779,1477.157516092034,3008.355404891593
107,1350.3981631042504,996.7062556948002,1747.7438671583668,1561.2198168343523,396.75140388631684,1162.2019423681363,1914.7190018489905,1566.4326509027098,1393.4074800936773,396.75140388631684,1039.908295079039,1792.4253545598935,1388.1946460253196,2954.62729692803
108,1270.6930542885448,921.6177721480403,1665.5460581101474,1578.278801299169,388.61091499740587,1181.8620743472056,1928.907727038668,1585.840729926369,1311.691390103887,388.61091499740587,961.0624643643883,1708.1081170558505,1304.129461476687,2889.970191403056
109,1195.3687885470029,851.8170751747016,1586.8987226579638,1617.9737675738752,380.103520398459,1226.0471246866794,1964.2304512868404,1626.420749634803,1234.2113828804477,380.103520398459,887.9546991674827,1626.1380257676433,1225.7644008195198,2852.185150454323
110,1124.2055791200244,785.6816012970621,1504.09044551049,1732.0948392329444,371.30241651045475,1346.730960288768,2073.06041211307,1741.25307496341,1160.9085251377685,371.30241651045475,819.942952257643,1546.272404081945,1151.7502894073032,2893.003364370713
111,1056.9954152820483,724.5179765240836,1431.0714684360526,1892.7575067717655,362.2767022989377,1514.8249293944757,2228.068567453048,1903.460883149624,1091.6656354353304,362.2767022989377,756.3545747540476,1469.5982128126204,1080.9622590574722,2984.423142207096
112,993.5396185238556,667.462218307032,1362.8601916701173,1987.3062447343434,353.0959657719823,1615.8519455972773,2316.459000283684,2000.0095606411642,1026.3452443454858,353.0959657719823,697.1924887961445,1397.7995434825514,1013.6419284386646,3013.651489079829
113,934.1279637212702,614.999179299539,1295.8740216450535,1983.4839536005084,343.8332261867915,1619.3365369366036,2305.7108566424517,1997.767086646921,964.8535296647228,343.8332261867915,642.626626622779,1329.000946328627,950.5703966183094,2948.3374832652303
114,878.0510643734228,568.0444496760248,1225.0131838481102,1955.7956404265778,334.5300585572172,1604.075660511558,2270.5712781076513,1971.323575279054,906.9302343607017,334.5300585572172,592.1545966796278,1258.6502142757208,891.402299508225,2862.725874787279
115,824.722918908339,520.1602656236805,1145.0499329378324,1950.8066456302977,325.1997294094588,1616.1041743567998,2258.3878486487392,1968.0173426507126,852.1906351434577,325.1997294094588,544.6094321250165,1186.8931064169556,834.9799381230426,2802.997280773755
116,774.461238574813,476.8747613721072,1087.6593831858188,1945.5717155203936,315.8733699129597,1625.9278470776103,2246.5777100090345,1965.8646327333588,800.4190562622131,315.8733699129596,499.41306177357365,1120.0629247049974,780.1261390492486,2745.9907717826077
117,727.1171586649236,435.47082551971465,1034.529401784228,1978.1366282949152,306.6029172089549,1668.1942076597427,2272.798480906472,2002.7814964220188,751.5758702027753,306.6029172089549,456.91401759121925,1061.5182908379484,726.9310020756723,2729.7124984976917
118,682.5478873812793,397.54886957015646,980.2062093295303,2095.0296539414794,297.43604018864704,1793.9063420993969,2383.505073272343,2123.7620630815118,705.6266671644803,297.43604018864704,417.15124783361614,1006.7499790065623,676.8942580244471,2800.6563211059593
119,640.9502884623398,360.7861498074448,922.6055930115424,2217.0275296200693,288.4076576766022,1928.271137328377,2499.193737179346,2248.2506929106517,662.5005093431795,288.4076576766022,380.33430178390097,951.2569016348702,631.2773460525951,2879.5280389632476
120,601.8183536634778,331.3071807736422,867.2042297881495,2254.025067500837,279.51868986196104,1979.767489635746,2528.8604013012864,2285.971788726651,622.0080792372983,279.51868986196104,347.1727454368483,896.2656571023886,590.0613580114831,2876.0331467381347
121,564.7343112959417,302.6928534977047,819.4500618738507,2257.637463592914,270.7423121553901,1995.9338694905978,2524.095048055427,2288.946982927766,583.8713052823942,270.7423121553901,317.4137208198812,845.5748993847105,552.5617859475427,2841.5087688753088
